direction,antecedents,consequents,support,confidence,lift,leverage
ap,Aspect=price,Polarity=positive,0.244561,0.848266,1.139922,-0.3866711058235348
ap,Aspect=usability,Polarity=positive,0.096982,0.816128,1.096734,-0.5103348039996296
pa,Polarity=negative,Aspect=design,0.045737,0.256025,1.189387,-0.009374390149060274
pa,Polarity=negative,Aspect=battery,0.043561,0.243846,1.262294,-0.0035443308952874675
pa,Polarity=negative,Aspect=screen,0.015693,0.087847,1.262583,0.009580878853809831
pa,Polarity=negative,Aspect=support,0.009768,0.054677,1.661239,0.007968382047958522
pa,Polarity=negative,Aspect=performance,0.008934,0.050013,1.39045,0.007135087815942968
